CATEGORY	BIBTEXKEY	author	title	year	(title_translation)	publisher	address	pages	booktitle	(booktitle_translation)	editor	journal	volume	number	school	note	url	howpublished	contributor	date_added	comment	correction_notes	checked
book	abdullaev1950	Абдуллаев, Сайгид Н.	Даргинско-русский словарь 	1950	Russian-Dargwa dictionary	Институт истории, языка и литературы им. Г. Цадасы	Махачкала				Сулейманов Х. Ш.								Polina Smyr	30.08.2021			Y
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Dargwa grammar	ИЯЛИ	Махачкала																Y
book	abdullaevaetal2014	Абдуллаева, Айшат З. и Гаджиахмедов, Нурмагомед Э. и Кадыраджиев, Калсын С. и Керимов, Ибрагим А. и Ольмесов, Нурмагомед Х. и Хангишиев, Джангиши М.	Современный кумыкский язык	2014	Contemporary Kumyk	ИЯЛИ	Махачкала																Y
misc	abdulmutalibov2005	Абдулмуталибов Н.Ш.	Русско-лезгинский разговорник	2005	Russian-Lezgian phrasebook		Махачкала									Accessed: 2021-12-17		\url{http://cathedra.dgu.ru/Content/files/%D0%A4%D0%B8%D0%BB%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%84%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82/%D0%9D_%D0%A8_%20%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BC%D1%83%D1%82%D0%B0%D0%BB%D0%B8%D0%B1%D0%BE%D0%B2%20%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE-%D0%BB%D0%B5%D0%B7%D0%B3%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA.pdf}	Chiara Naccarato	17.12.2021		author name	Y
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek												Y
incollection	alekseev1998	Алексеев, Михаил Е.	Андийский язык	1998	Andi	Academia	Москва	221--228	Языки мира. Кавказские языки	Languages of the world. Caucasian languages	Алексеев, Михаил Е. и др.								Chiara Naccarato	18.08.2021			Y
incollection	alekseyev2016rutul	Alekseyev, Mikhail	Rutul	2016		De Gruyter Mouton	Berlin/Boston	3536--3545	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz										corrected spelling of surname + bibtexkey		Y
book	alekseevataev1997	Алексеев, Михаил Егорович и Атаев, Борис Махаевич	Аварский язык	1997	Avar language	Академия	Москва												George Moroz	28.04.2021			Y
book	alekseevetal1998	Алексеев, Михаил Е. и Климов, Георгий А. и Старостин, Сергей А. и Тестелец, Яков Г. 	Языки мира. Кавказские языки	1998	Languages of the world. Caucasian languages	Academia	Москва												Chiara Naccarato	18.08.2021			Y
book	alekseevetal2008	Алексеев, Михаил Е. и Майсак, Тимур А. и Ганенков, Дмитрий С. и Ландер, Юрий А.	Удинский сборник: Грамматика. Лексика. История языка	2008	Udi. Grammar. Lexicon. History of the language	Академия	Москва																Y
