CATEGORY	BIBTEXKEY	author	title	year	(title_translation)	publisher	address	pages	booktitle	(booktitle_translation)	editor	journal	volume	number	school	note	url	howpublished	contributor	date_added	comment	correction_notes	checked
book	abdullaev1950	Abdullaev, Sajgid N.	Darginsko-russkij slovarʹ 	1950	Russian-Dargwa dictionary	Institut istorii, jazyka i literatury im. G. Cadasy	Maxačkala				Sulejmanov X. Š.								Polina Smyr	30.08.2021			Y
book	abdullaev1954	Abdullaev, Sajgid N.	Grammatika darginskogo jazyka	1954	Dargwa grammar	IJaLI	Maxačkala																Y
book	abdullaevaetal2014	Abdullaeva, Ajšat Z. i Gadžiaxmedov, Nurmagomed È. i Kadyradžiev, Kalsyn S. i Kerimov, Ibragim A. i Olʹmesov, Nurmagomed X. i Xangišiev, Džangiši M.	Sovremennyj kumykskij jazyk	2014	Contemporary Kumyk	IJaLI	Maxačkala																Y
misc	abdulmutalibov2005	Abdulmutalibov N.Š.	Russko-lezginskij razgovornik	2005	Russian-Lezgian phrasebook		Maxačkala									Accessed: 2021-12-17		\url{http://cathedra.dgu.ru/Content/files/%D0%A4%D0%B8%D0%BB%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%84%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82/%D0%9D_%D0%A8_%20%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BC%D1%83%D1%82%D0%B0%D0%BB%D0%B8%D0%B1%D0%BE%D0%B2%20%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE-%D0%BB%D0%B5%D0%B7%D0%B3%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA.pdf}	Chiara Naccarato	17.12.2021		author name	Y
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek												Y
incollection	alekseev1998	Alekseev, Mixail E.	Andijskij jazyk	1998	Andi	Academia	Moskva	221--228	Jazyki mira. Kavkazskie jazyki	Languages of the world. Caucasian languages	Alekseev, Mixail E. i dr.								Chiara Naccarato	18.08.2021			Y
incollection	alekseyev2016rutul	Alekseyev, Mikhail	Rutul	2016		De Gruyter Mouton	Berlin/Boston	3536--3545	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz										corrected spelling of surname + bibtexkey		Y
book	alekseevataev1997	Alekseev, Mixail Egorovič i Ataev, Boris Maxaevič	Avarskij jazyk	1997	Avar language	Akademija	Moskva												George Moroz	28.04.2021			Y
book	alekseevetal1998	Alekseev, Mixail E. i Klimov, Georgij A. i Starostin, Sergej A. i Testelec, Jakov G. 	Jazyki mira. Kavkazskie jazyki	1998	Languages of the world. Caucasian languages	Academia	Moskva												Chiara Naccarato	18.08.2021			Y
book	alekseevetal2008	Alekseev, Mixail E. i Majsak, Timur A. i Ganenkov, Dmitrij S. i Lander, Jurij A.	Udinskij sbornik: Grammatika. Leksika. Istorija jazyka	2008	Udi. Grammar. Lexicon. History of the language	Akademija	Moskva																Y
